"Insert (nedtrie)","Find 0-N (nedtrie)","Find N (nedtrie)","Remove (nedtrie)","Iterate (nedtrie)","Insert (rbtree)","Find 0-N (rbtree)","Find N (rbtree)","Remove (rbtree)","Iterate (rbtree)","Insert (hash)","Find 0-N (hash)","Find N (hash)","Remove (hash)","Iterate (hash)","Insert (trie_map<size_t>)","Find 0-N (trie_map<size_t>)","Find N (trie_map<size_t>)","Remove (trie_map<size_t>)","Iterate (trie_map<size_t>)","Insert (map<size_t>)","Find 0-N (map<size_t>)","Find N (map<size_t>)","Remove (map<size_t>)","Iterate (map<size_t>)","Insert (unordered_map<size_t>)","Find 0-N (unordered_map<size_t>)","Find N (unordered_map<size_t>)","Remove (unordered_map<size_t>)","Iterate (unordered_map<size_t>)"
12713310.993911,10775459.414992,12462680.900400,13333750.215660,15619840.761636,11199621.268898,10463227.611245,12113873.041326,12516285.974047,14761864.995686,11666387.175843,8724871.440314,9962015.745949,14086361.850355,18201988.554563,7344032.285738,10576015.207814,12061747.900999,9078839.761276,18222772.400858,6304103.427607,12545221.531930,11560557.166216,8444855.037385,13587668.808708,8587822.353169,9944743.048210,11086408.211049,8288640.172366,15015745.473515
12690767.819938,10734644.016402,12418007.973400,13324117.861569,15601930.086627,11139431.011467,10416922.318516,12015808.102220,12493446.132530,14705350.017995,11656374.929499,8709444.690358,9894377.120961,14063014.611924,18196683.737838,7325933.767744,10558829.558853,12043416.645727,9049859.587367,18217321.392458,6283566.226686,12528142.540002,11572109.351236,8448433.273956,13502342.187614,8594787.367627,9951614.515495,11114654.042326,8281010.887131,14995880.395491
12656304.931792,10701887.717145,12371005.817076,13237788.940538,15565444.479491,11082620.227358,10381040.114144,11934101.669044,12428931.737794,14626829.528861,11649276.162968,8694389.015842,9775835.093011,14030071.949424,18188987.580050,7300404.875676,10533920.658793,12014605.149516,8983754.367694,18209768.245067,6267521.513431,12440749.583422,11572855.352595,8397692.615995,13413871.447759,8591710.941642,9961665.339174,11136513.206919,8272080.373285,14938334.546183
12636523.449768,10669916.841550,12345346.270156,13242848.472544,15541461.671286,11033934.991535,10354272.794655,11827183.127210,12439128.602485,14622535.624554,11642337.399780,8659648.033604,9698800.665357,13999624.224309,18153561.371205,7282229.395714,10510894.491609,11994133.810480,8958960.914501,18204993.363880,6243692.021643,12399241.163384,11563239.102756,8364158.441198,13420398.357070,8594555.377037,9962155.664804,11174730.094398,8276458.496390,14903225.382283
12594167.078998,10633351.210696,12311484.568169,13224430.418052,15540595.907163,10974915.407671,10318089.522317,11726160.420940,12420731.638944,14619702.528162,11635257.577348,8629378.858642,9613945.879012,13959156.497738,18120586.484569,7252339.088570,10475096.590877,11947786.192444,8911195.786384,18199936.082114,6220919.660468,12348376.737413,11538907.591434,8347865.591662,13414506.810867,8604695.840526,9963220.309066,11207192.315784,8283978.454504,14880807.521389
12526721.459494,10605146.439354,12266793.032747,13197727.559334,15532728.355696,10935291.226510,10295923.545671,11655521.840420,12418527.686731,14585454.311106,11628280.558356,8587594.136400,9522906.622847,13917419.648764,18074181.464018,7208649.837072,10465266.509321,11893063.854238,8841845.082118,18195562.109865,6202434.457740,12289228.775927,11534654.224580,8319979.083184,13379017.456245,8618775.548647,9962897.106977,11245340.969952,8311259.787429,14845329.867556
12476783.102715,10574024.564221,12241498.940141,13212327.896355,15513267.366082,10901633.326630,10189826.441339,11565645.014717,12349643.131280,14603613.607036,11631342.421799,8552814.572562,9443854.040268,13871560.984713,18053956.953859,7190083.482277,10445107.354772,11839275.760846,8779386.353302,18189357.114903,6191152.588811,12253275.516969,11559058.378668,8300272.400181,13384272.736406,8643323.928172,9945304.705211,11236392.567894,8301124.196953,14866760.382238
12417256.160641,10543422.808979,12214295.313247,13230115.680451,15498175.106485,10849613.485869,10160526.663245,11545949.729071,12256654.927638,14533943.229344,11623468.279294,8515600.573332,9346677.514964,13826182.579752,18022439.758569,7156906.321253,10441428.443123,11783896.837325,8719376.150486,18185310.763174,6160927.361332,12221102.312319,11517803.916266,8261218.264562,13352449.304195,8622634.795482,9930311.706671,11212504.533655,8279999.242948,14880566.098691
12347050.738008,10516324.885050,12062901.029070,13247929.642842,15466579.042803,10783977.721563,10139298.717430,11546363.370807,12151613.506142,14454784.562642,11614639.705035,8478753.647397,9267244.356262,13770513.210092,17992698.830178,7110136.414670,10420523.935741,11715724.090345,8639820.723783,18182533.545293,6130560.311623,12166076.114754,11447064.644074,8238423.899056,13313152.299328,8598616.124261,9914212.116179,11188774.557897,8257757.848116,14914491.387950
12252942.618531,10486449.318495,12014168.157906,13233838.814471,15473223.869583,10720646.987308,10110570.947026,11510688.838084,12052393.987176,14394821.180528,11614452.297728,8437975.927562,9192048.998439,13735409.032590,17964237.069587,7057615.678265,10399771.494772,11634723.366157,8552118.032422,18178932.771147,6098540.616605,12130332.388865,11373405.893744,8205594.429380,13286093.485054,8569234.442485,9899994.819614,11170950.931872,8230394.339222,14938901.192230
12178592.217107,10459522.016492,11971456.260161,13164859.746137,15493504.478079,10632792.521846,10092235.682751,11486452.068667,11951857.278018,14359972.158427,11618840.260057,8401484.265573,9132046.696788,13722711.486180,17941303.043478,7023453.926458,10363586.480230,11570675.171175,8479048.871417,18176967.002363,6068743.866299,12112108.905629,11284321.431804,8172370.479732,13305125.728131,8550309.812046,9874791.263559,11165973.364326,8213515.648055,14957642.601441
12114879.742941,10429142.813676,11935723.225534,13131001.241251,15516520.449971,10542586.551301,10069004.956055,11442079.277553,11879205.832376,14329570.447343,11626253.410172,8385027.990658,9134215.225175,13752811.675145,17943502.337351,6996627.338384,10348972.987318,11515403.876926,8417492.397728,18175994.500686,6041629.281689,12090482.857719,11204541.902254,8141308.736597,13307451.371462,8538720.670141,9850333.335030,11162146.836599,8192401.436816,14986746.049613
12042340.729610,10400783.166380,11880168.187179,13044994.668122,15536962.073379,10468269.636022,10042110.228650,11418801.643303,11773317.503947,14282754.751982,11649935.664234,8387832.772968,9104967.156015,13788324.842933,17970065.493837,6962427.283150,10325771.502198,11458944.391521,8344413.069383,18172609.574990,6023985.795722,12033897.764543,11126708.705346,8095300.187668,13278728.223279,8528730.021827,9839916.834121,11130407.726870,8154757.385248,14987006.852812
11989719.039289,10374799.386259,11840179.696897,13032923.977551,15568948.888723,10391617.128668,10029338.046301,11395581.935758,11702639.132253,14213795.301965,11669769.125349,8389523.713104,9077794.931508,13840557.601169,17996179.962484,6931279.067073,10321171.020428,11419972.287116,8297519.850690,18169529.340275,6005401.886487,12007058.147420,11047278.000822,8056136.901067,13217060.513247,8513496.174198,9809793.105522,11091334.977598,8128437.473240,14973695.819509
11936185.219272,10354791.517047,11788594.518463,13012684.351058,15598073.705232,10316359.982216,9998730.588786,11365093.651250,11626059.035159,14173425.835402,11699617.624982,8391220.000216,9059789.358059,13904880.113716,18037010.290364,6901058.991017,10304746.529326,11380951.063042,8264465.275833,18168101.315754,5980596.512826,11973752.109704,10955987.036459,8016921.654530,13198269.258314,8502912.132577,9802808.151216,11064238.329551,8096205.790999,14967854.042749
11894055.071176,10335072.172113,11742465.076705,13008221.296825,15629125.553438,10242493.208842,10046791.843295,11336819.102773,11572159.226919,14086096.108384,11715907.059543,8387740.496848,9018845.128862,13950276.951252,18062773.552687,6858784.174246,10282764.276257,11345345.856730,8227840.691621,18167858.608183,5951841.736582,11944560.815906,10868499.139195,7975521.363447,13126219.591049,8499880.230952,9792277.557134,11036204.693435,8072379.103710,14972906.363609
11843022.116423,10306665.081745,11672262.958631,13003537.733317,15652557.364656,10180627.097892,10024121.380183,11287615.068644,11527650.119885,14037301.622079,11740249.056200,8385893.548339,8993687.915442,13984407.713136,18089612.792976,6821654.554603,10259122.725680,11305277.445527,8195483.562824,18166138.774058,5942623.261126,11916350.944339,10829374.634102,7944135.741353,13073509.030958,8506470.979612,9778485.150197,11020892.387925,8075362.252648,14985177.443405
